model,prune,quant,test_batch_size,sampling_rate,input_resolution,accuracy,output_fps,macs
GOOGLENET,0.5,float32,1,30.0,896,0.882,65.94,1586590355061.5186
GOOGLENET,0.6,float32,1,3.0,896,0.833,57.78,1390289924463.9082
GOOGLENET,0.6,float32,1,6.0,896,0.833,61.06,1469350529745.9126
GOOGLENET,0.6,float32,1,9.0,896,0.833,61.45,1478688997762.589
GOOGLENET,0.6,float32,1,12.0,896,0.833,63.73,1533461624683.2522
GOOGLENET,0.6,float32,1,15.0,896,0.833,63.61,1530688599115.6946
GOOGLENET,0.6,float32,1,18.0,896,0.833,65.21,1569159554529.0518
GOOGLENET,0.6,float32,1,21.0,896,0.833,60.79,1462854586065.5505
GOOGLENET,0.6,float32,1,24.0,896,0.833,66.15,1591745730148.0671
GOOGLENET,0.6,float32,1,27.0,896,0.833,65.91,1586086513211.8699
GOOGLENET,0.6,float32,1,30.0,896,0.833,66.1,1590594243297.6606
GOOGLENET,0.7,float32,1,3.0,896,0.75,52.64,1266681753347.8442
GOOGLENET,0.7,float32,1,6.0,896,0.75,62.71,1509023660159.7344
GOOGLENET,0.7,float32,1,9.0,896,0.75,63.41,1525921747586.5127
GOOGLENET,0.7,float32,1,12.0,896,0.75,65.31,1571571833397.802
GOOGLENET,0.7,float32,1,15.0,896,0.75,64.74,1557900796118.442
GOOGLENET,0.7,float32,1,18.0,896,0.75,65.57,1577803549992.664
GOOGLENET,0.7,float32,1,21.0,896,0.75,64.45,1550770504072.369
GOOGLENET,0.7,float32,1,24.0,896,0.75,65.61,1578712032118.6125
GOOGLENET,0.7,float32,1,27.0,896,0.75,65.45,1574875607967.79
GOOGLENET,0.7,float32,1,30.0,896,0.75,65.37,1573029176507.576
GOOGLENET,0.8,float32,1,3.0,896,0.608,51.72,1244511921073.9175
GOOGLENET,0.8,float32,1,6.0,896,0.608,62.25,1497836775556.589
GOOGLENET,0.8,float32,1,9.0,896,0.608,59.0,1419623330311.9392
GOOGLENET,0.8,float32,1,12.0,896,0.608,63.43,1526263774108.4072
GOOGLENET,0.8,float32,1,15.0,896,0.608,64.35,1548323960240.821
GOOGLENET,0.8,float32,1,18.0,896,0.608,64.01,1540348617395.7383
GOOGLENET,0.8,float32,1,21.0,896,0.608,64.73,1557524665278.2148
GOOGLENET,0.8,float32,1,24.0,896,0.608,65.38,1573149959580.626
GOOGLENET,0.8,float32,1,27.0,896,0.608,61.46,1478983259976.4045
GOOGLENET,0.8,float32,1,30.0,896,0.608,63.79,1534986315799.2615
GOOGLENET,0.9,float32,1,3.0,896,0.372,53.14,1278587387930.0408
GOOGLENET,0.9,float32,1,6.0,896,0.372,61.3,1474937831921.002
GOOGLENET,0.9,float32,1,9.0,896,0.372,62.74,1509645349291.5234
GOOGLENET,0.9,float32,1,12.0,896,0.372,65.32,1571779620639.9226
GOOGLENET,0.9,float32,1,15.0,896,0.372,63.56,1529382061559.8228
GOOGLENET,0.9,float32,1,18.0,896,0.372,62.25,1497965375167.7205
GOOGLENET,0.9,float32,1,21.0,896,0.372,64.1,1542400375009.0134
GOOGLENET,0.9,float32,1,24.0,896,0.372,62.72,1509168232384.7708
GOOGLENET,0.9,float32,1,27.0,896,0.372,66.24,1593856426475.2468
GOOGLENET,0.9,float32,1,30.0,896,0.372,65.86,1584842175323.9211
GOOGLENET,1.0,float32,1,3.0,896,0.001,52.76,1269547338423.5186
GOOGLENET,1.0,float32,1,6.0,896,0.001,59.96,1442876661378.2263
GOOGLENET,1.0,float32,1,9.0,896,0.001,63.73,1533398810579.7854
GOOGLENET,1.0,float32,1,12.0,896,0.001,62.98,1515386376612.4404
GOOGLENET,1.0,float32,1,15.0,896,0.001,59.9,1441271693965.9712
GOOGLENET,1.0,float32,1,18.0,896,0.001,65.08,1566105237315.3452
GOOGLENET,1.0,float32,1,21.0,896,0.001,66.34,1596358892599.1528
GOOGLENET,1.0,float32,1,24.0,896,0.001,66.18,1592494285072.3757
GOOGLENET,1.0,float32,1,27.0,896,0.001,65.51,1576268126992.6482
GOOGLENET,1.0,float32,1,30.0,896,0.001,65.09,1566233020080.5413
GOOGLENET,0.1,float32,1,3.0,1008,0.996,48.3,1474523823587.403
GOOGLENET,0.1,float32,1,6.0,1008,0.996,54.06,1650277326815.7678
GOOGLENET,0.1,float32,1,9.0,1008,0.996,57.3,1749227099922.999
GOOGLENET,0.1,float32,1,12.0,1008,0.996,59.53,1817480844770.308
GOOGLENET,0.1,float32,1,15.0,1008,0.996,60.32,1841428728952.6875
GOOGLENET,0.1,float32,1,18.0,1008,0.996,61.27,1870536306391.8022
GOOGLENET,0.1,float32,1,21.0,1008,0.996,57.06,1741815822310.2488
GOOGLENET,0.1,float32,1,24.0,1008,0.996,58.54,1786989008164.0347
GOOGLENET,0.1,float32,1,27.0,1008,0.996,58.04,1771883240256.19
GOOGLENET,0.1,float32,1,30.0,1008,0.996,56.85,1735632655574.6577
GOOGLENET,0.2,float32,1,3.0,1008,0.989,52.37,1598692238384.028
GOOGLENET,0.2,float32,1,6.0,1008,0.989,57.08,1742480970465.5771
GOOGLENET,0.2,float32,1,9.0,1008,0.989,59.86,1827460175853.5435
GOOGLENET,0.2,float32,1,12.0,1008,0.989,56.57,1727023486804.7678
GOOGLENET,0.2,float32,1,15.0,1008,0.989,57.59,1758174654693.8206
GOOGLENET,0.2,float32,1,18.0,1008,0.989,56.81,1734296869954.5334
GOOGLENET,0.2,float32,1,21.0,1008,0.989,61.06,1864110941126.8052
GOOGLENET,0.2,float32,1,24.0,1008,0.989,60.37,1843100379435.532
GOOGLENET,0.2,float32,1,27.0,1008,0.989,61.94,1890861912875.0513
GOOGLENET,0.2,float32,1,30.0,1008,0.989,55.86,1705159099608.3953
GOOGLENET,0.3,float32,1,3.0,1008,0.965,49.2,1502104714558.8184
GOOGLENET,0.3,float32,1,6.0,1008,0.965,52.79,1611594466756.1616
GOOGLENET,0.3,float32,1,9.0,1008,0.965,59.61,1819666888841.7205
GOOGLENET,0.3,float32,1,12.0,1008,0.965,59.33,1811267002748.2527
GOOGLENET,0.3,float32,1,15.0,1008,0.965,59.77,1824794628163.1257
GOOGLENET,0.3,float32,1,18.0,1008,0.965,56.38,1721168096652.011
GOOGLENET,0.3,float32,1,21.0,1008,0.965,59.31,1810693376265.8215
GOOGLENET,0.3,float32,1,24.0,1008,0.965,60.63,1850987191271.6096
GOOGLENET,0.3,float32,1,27.0,1008,0.965,56.94,1738142031844.6848
GOOGLENET,0.3,float32,1,30.0,1008,0.965,59.66,1821382232016.6558
GOOGLENET,0.4,float32,1,3.0,1008,0.937,53.43,1630970001015.719
GOOGLENET,0.4,float32,1,6.0,1008,0.937,54.65,1668469636673.4612
GOOGLENET,0.4,float32,1,9.0,1008,0.937,55.91,1706965199310.3662
GOOGLENET,0.4,float32,1,12.0,1008,0.937,58.99,1800881624178.887
GOOGLENET,0.4,float32,1,15.0,1008,0.937,55.93,1707565912979.8098
GOOGLENET,0.4,float32,1,18.0,1008,0.937,55.75,1701865294449.0461
GOOGLENET,0.4,float32,1,21.0,1008,0.937,62.14,1897160277847.2546
GOOGLENET,0.4,float32,1,24.0,1008,0.937,57.63,1759265453134.7742
GOOGLENET,0.4,float32,1,27.0,1008,0.937,59.91,1829061468194.054
GOOGLENET,0.4,float32,1,30.0,1008,0.937,58.5,1785785389927.1738
GOOGLENET,0.5,float32,1,3.0,1008,0.903,48.66,1485609796036.1296
GOOGLENET,0.5,float32,1,6.0,1008,0.903,54.96,1677736381331.7302
GOOGLENET,0.5,float32,1,9.0,1008,0.903,58.92,1798601594240.0361
GOOGLENET,0.5,float32,1,12.0,1008,0.903,60.58,1849258517971.0244
GOOGLENET,0.5,float32,1,15.0,1008,0.903,59.1,1804192002110.0706
GOOGLENET,0.5,float32,1,18.0,1008,0.903,53.19,1623636912089.046
GOOGLENET,0.5,float32,1,21.0,1008,0.903,61.12,1865873095430.589
GOOGLENET,0.5,float32,1,24.0,1008,0.903,61.04,1863568816087.861
GOOGLENET,0.5,float32,1,27.0,1008,0.903,60.56,1848717265445.462
GOOGLENET,0.5,float32,1,30.0,1008,0.903,61.74,1884741616395.0269
GOOGLENET,0.6,float32,1,3.0,1008,0.853,49.84,1521547018514.3657
GOOGLENET,0.6,float32,1,6.0,1008,0.853,55.26,1686861259967.379
GOOGLENET,0.6,float32,1,9.0,1008,0.853,55.37,1690283791538.1665
GOOGLENET,0.6,float32,1,12.0,1008,0.853,59.21,1807656332448.2915
GOOGLENET,0.6,float32,1,15.0,1008,0.853,60.6,1850059606261.5476
GOOGLENET,0.6,float32,1,18.0,1008,0.853,59.53,1817362443886.7188
GOOGLENET,0.6,float32,1,21.0,1008,0.853,60.79,1855691508821.163
GOOGLENET,0.6,float32,1,24.0,1008,0.853,58.57,1788110699276.4934
GOOGLENET,0.6,float32,1,27.0,1008,0.853,58.44,1784048025624.0637
GOOGLENET,0.6,float32,1,30.0,1008,0.853,62.08,1895223375896.0444
GOOGLENET,0.7,float32,1,3.0,1008,0.768,52.62,1606527338894.4038
GOOGLENET,0.7,float32,1,6.0,1008,0.768,54.76,1671775583350.2349
GOOGLENET,0.7,float32,1,9.0,1008,0.768,54.7,1669906034576.284
GOOGLENET,0.7,float32,1,12.0,1008,0.768,59.87,1827599572511.618
GOOGLENET,0.7,float32,1,15.0,1008,0.768,58.74,1793234609994.8591
GOOGLENET,0.7,float32,1,18.0,1008,0.768,60.69,1852655812183.1152
GOOGLENET,0.7,float32,1,21.0,1008,0.768,60.8,1856000681985.4507
GOOGLENET,0.7,float32,1,24.0,1008,0.768,57.97,1769563415572.5618
GOOGLENET,0.7,float32,1,27.0,1008,0.768,60.54,1848245743144.844
GOOGLENET,0.7,float32,1,30.0,1008,0.768,62.84,1918358167606.2769
GOOGLENET,0.8,float32,1,3.0,1008,0.622,53.27,1626275690923.84
GOOGLENET,0.8,float32,1,6.0,1008,0.622,54.28,1657067986860.6584
GOOGLENET,0.8,float32,1,9.0,1008,0.622,55.99,1709345569774.1987
GOOGLENET,0.8,float32,1,12.0,1008,0.622,54.72,1670351631988.4382
GOOGLENET,0.8,float32,1,15.0,1008,0.622,55.42,1691938731013.8882
GOOGLENET,0.8,float32,1,18.0,1008,0.622,60.0,1831762562662.613
GOOGLENET,0.8,float32,1,21.0,1008,0.622,57.21,1746609404089.6821
GOOGLENET,0.8,float32,1,24.0,1008,0.622,56.88,1736450217524.6055
GOOGLENET,0.8,float32,1,27.0,1008,0.622,56.65,1729304796822.675
GOOGLENET,0.8,float32,1,30.0,1008,0.622,62.41,1905371687704.0483
GOOGLENET,0.9,float32,1,3.0,1008,0.381,50.41,1538842888108.202
GOOGLENET,0.9,float32,1,6.0,1008,0.381,55.4,1691263075006.6682
GOOGLENET,0.9,float32,1,9.0,1008,0.381,56.56,1726773459276.1719
GOOGLENET,0.9,float32,1,12.0,1008,0.381,59.55,1817858412799.6633
GOOGLENET,0.9,float32,1,15.0,1008,0.381,56.29,1718499108294.8025
GOOGLENET,0.9,float32,1,18.0,1008,0.381,58.76,1793777396400.0623
GOOGLENET,0.9,float32,1,21.0,1008,0.381,54.39,1660544942005.208
GOOGLENET,0.9,float32,1,24.0,1008,0.381,60.91,1859603375332.5583
GOOGLENET,0.9,float32,1,27.0,1008,0.381,61.94,1890893166642.7642
GOOGLENET,0.9,float32,1,30.0,1008,0.381,62.08,1895077516984.5935
GOOGLENET,1.0,float32,1,3.0,1008,0.001,49.42,1508590194660.322
GOOGLENET,1.0,float32,1,6.0,1008,0.001,56.97,1739140124061.562
GOOGLENET,1.0,float32,1,9.0,1008,0.001,52.13,1591357704277.7205
GOOGLENET,1.0,float32,1,12.0,1008,0.001,58.69,1791821004419.4268
GOOGLENET,1.0,float32,1,15.0,1008,0.001,59.38,1812606112809.0706
GOOGLENET,1.0,float32,1,18.0,1008,0.001,60.45,1845469680385.0933
GOOGLENET,1.0,float32,1,21.0,1008,0.001,61.95,1891179670481.0957
GOOGLENET,1.0,float32,1,24.0,1008,0.001,57.14,1744506359709.5493
GOOGLENET,1.0,float32,1,27.0,1008,0.001,61.26,1870219998254.1094
GOOGLENET,1.0,float32,1,30.0,1008,0.001,60.85,1857496736612.2642
GOOGLENET,0.1,float32,1,3.0,1120,0.996,44.45,1671244391217.2224
GOOGLENET,0.1,float32,1,6.0,1120,0.996,49.03,1843220569402.858
GOOGLENET,0.1,float32,1,9.0,1120,0.996,48.59,1826820437983.844
GOOGLENET,0.1,float32,1,12.0,1120,0.996,51.12,1921807949558.2537
GOOGLENET,0.1,float32,1,15.0,1120,0.996,48.89,1838017987788.1006
GOOGLENET,0.1,float32,1,18.0,1120,0.996,52.14,1960393252663.1675
GOOGLENET,0.1,float32,1,21.0,1120,0.996,52.45,1971917796933.896
GOOGLENET,0.1,float32,1,24.0,1120,0.996,52.46,1972176311932.5286
GOOGLENET,0.1,float32,1,27.0,1120,0.996,52.09,1958425622047.4277
GOOGLENET,0.1,float32,1,30.0,1120,0.996,52.75,1983127892560.0166
GOOGLENET,0.2,float32,1,3.0,1120,0.99,42.32,1591125857335.783
GOOGLENET,0.2,float32,1,6.0,1120,0.99,48.06,1806910856880.372
GOOGLENET,0.2,float32,1,9.0,1120,0.99,51.13,1922317723627.067
GOOGLENET,0.2,float32,1,12.0,1120,0.99,51.62,1940850466594.8083
GOOGLENET,0.2,float32,1,15.0,1120,0.99,51.69,1943345738595.344
GOOGLENET,0.2,float32,1,18.0,1120,0.99,52.19,1962224770983.838
GOOGLENET,0.2,float32,1,21.0,1120,0.99,51.06,1919885682648.7573
GOOGLENET,0.2,float32,1,24.0,1120,0.99,51.1,1921200289087.4204
GOOGLENET,0.2,float32,1,27.0,1120,0.99,51.16,1923662430064.4915
GOOGLENET,0.2,float32,1,30.0,1120,0.99,52.17,1961296727289.7773
GOOGLENET,0.3,float32,1,3.0,1120,0.966,43.84,1648364972360.9888
GOOGLENET,0.3,float32,1,6.0,1120,0.966,49.42,1858182638458.4395
GOOGLENET,0.3,float32,1,9.0,1120,0.966,49.23,1850788606952.8413
GOOGLENET,0.3,float32,1,12.0,1120,0.966,51.45,1934362217104.7668
GOOGLENET,0.3,float32,1,15.0,1120,0.966,52.09,1958281962135.2122
GOOGLENET,0.3,float32,1,18.0,1120,0.966,52.29,1965845050683.7883
GOOGLENET,0.3,float32,1,21.0,1120,0.966,52.43,1971378946698.2915
GOOGLENET,0.3,float32,1,24.0,1120,0.966,52.6,1977635389542.9001
GOOGLENET,0.3,float32,1,27.0,1120,0.966,51.78,1946836634059.7456
GOOGLENET,0.3,float32,1,30.0,1120,0.966,52.18,1961779221713.5325
GOOGLENET,0.4,float32,1,3.0,1120,0.938,45.08,1695049547330.7932
GOOGLENET,0.4,float32,1,6.0,1120,0.938,49.2,1849783914249.4995
GOOGLENET,0.4,float32,1,9.0,1120,0.938,50.79,1909396537326.4138
GOOGLENET,0.4,float32,1,12.0,1120,0.938,51.78,1946648945432.9402
GOOGLENET,0.4,float32,1,15.0,1120,0.938,50.78,1909020546351.2104
GOOGLENET,0.4,float32,1,18.0,1120,0.938,52.01,1955289054760.86
GOOGLENET,0.4,float32,1,21.0,1120,0.938,51.87,1950159991268.9636
GOOGLENET,0.4,float32,1,24.0,1120,0.938,52.5,1973927525596.4546
GOOGLENET,0.4,float32,1,27.0,1120,0.938,52.65,1979593755453.5159
GOOGLENET,0.4,float32,1,30.0,1120,0.938,52.47,1972815579801.5935
GOOGLENET,0.5,float32,1,3.0,1120,0.904,42.18,1585942439534.8062
GOOGLENET,0.5,float32,1,6.0,1120,0.904,47.97,1803489580532.616
GOOGLENET,0.5,float32,1,9.0,1120,0.904,50.59,1902140389152.408
GOOGLENET,0.5,float32,1,12.0,1120,0.904,50.7,1906245432919.912
GOOGLENET,0.5,float32,1,15.0,1120,0.904,51.24,1926383529350.2224
GOOGLENET,0.5,float32,1,18.0,1120,0.904,52.17,1961559401610.0986
GOOGLENET,0.5,float32,1,21.0,1120,0.904,51.33,1929917705417.569
GOOGLENET,0.5,float32,1,24.0,1120,0.904,51.48,1935565271300.3518
GOOGLENET,0.5,float32,1,27.0,1120,0.904,52.65,1979621570126.448
GOOGLENET,0.5,float32,1,30.0,1120,0.904,52.82,1986047794455.5579
GOOGLENET,0.6,float32,1,3.0,1120,0.853,46.14,1734754175595.7068
GOOGLENET,0.6,float32,1,6.0,1120,0.853,49.63,1866069527892.692
GOOGLENET,0.6,float32,1,9.0,1120,0.853,48.92,1839430717966.3457
GOOGLENET,0.6,float32,1,12.0,1120,0.853,50.96,1916072673200.476
GOOGLENET,0.6,float32,1,15.0,1120,0.853,51.88,1950696647442.948
GOOGLENET,0.6,float32,1,18.0,1120,0.853,51.91,1951645308779.4966
GOOGLENET,0.6,float32,1,21.0,1120,0.853,52.26,1964931606753.038
GOOGLENET,0.6,float32,1,24.0,1120,0.853,52.42,1970855734326.6462
GOOGLENET,0.6,float32,1,27.0,1120,0.853,51.72,1944392781671.5354
GOOGLENET,0.6,float32,1,30.0,1120,0.853,52.2,1962405618793.064
GOOGLENET,0.7,float32,1,3.0,1120,0.768,43.23,1625440827178.033
GOOGLENET,0.7,float32,1,6.0,1120,0.768,49.62,1865619164216.8582
GOOGLENET,0.7,float32,1,9.0,1120,0.768,50.58,1901754141695.558
GOOGLENET,0.7,float32,1,12.0,1120,0.768,50.85,1911987228378.6646
GOOGLENET,0.7,float32,1,15.0,1120,0.768,50.52,1899595539789.2258
GOOGLENET,0.7,float32,1,18.0,1120,0.768,51.04,1919103847853.1555
GOOGLENET,0.7,float32,1,21.0,1120,0.768,52.38,1969184828558.6265
GOOGLENET,0.7,float32,1,24.0,1120,0.768,52.38,1969378694152.755
GOOGLENET,0.7,float32,1,27.0,1120,0.768,52.52,1974626355092.6614
GOOGLENET,0.7,float32,1,30.0,1120,0.768,52.83,1986319220083.4094
GOOGLENET,0.8,float32,1,3.0,1120,0.623,43.0,1616563434668.643
GOOGLENET,0.8,float32,1,6.0,1120,0.623,49.26,1851958895688.1443
GOOGLENET,0.8,float32,1,9.0,1120,0.623,50.43,1896027868929.2769
GOOGLENET,0.8,float32,1,12.0,1120,0.623,51.76,1945936636747.0437
GOOGLENET,0.8,float32,1,15.0,1120,0.623,51.63,1941205276191.585
GOOGLENET,0.8,float32,1,18.0,1120,0.623,52.36,1968666668618.368
GOOGLENET,0.8,float32,1,21.0,1120,0.623,51.16,1923534273161.021
GOOGLENET,0.8,float32,1,24.0,1120,0.623,51.29,1928368426334.2825
GOOGLENET,0.8,float32,1,27.0,1120,0.623,52.67,1980426254009.8428
GOOGLENET,0.8,float32,1,30.0,1120,0.623,51.55,1938088848885.3223
GOOGLENET,0.9,float32,1,3.0,1120,0.381,44.27,1664331447986.0273
GOOGLENET,0.9,float32,1,6.0,1120,0.381,49.74,1869954310860.8862
GOOGLENET,0.9,float32,1,9.0,1120,0.381,48.81,1835134493872.0793
GOOGLENET,0.9,float32,1,12.0,1120,0.381,51.07,1920162731225.644
GOOGLENET,0.9,float32,1,15.0,1120,0.381,51.91,1951537216938.3542
GOOGLENET,0.9,float32,1,18.0,1120,0.381,52.0,1955010122480.164
GOOGLENET,0.9,float32,1,21.0,1120,0.381,52.31,1966784897758.7695
GOOGLENET,0.9,float32,1,24.0,1120,0.381,52.43,1971125448801.9163
GOOGLENET,0.9,float32,1,27.0,1120,0.381,52.12,1959625043857.8179
GOOGLENET,0.9,float32,1,30.0,1120,0.381,52.56,1976028456333.1553
GOOGLENET,1.0,float32,1,3.0,1120,0.001,44.58,1676140332124.622
GOOGLENET,1.0,float32,1,6.0,1120,0.001,49.63,1865787804365.0684
GOOGLENET,1.0,float32,1,9.0,1120,0.001,49.82,1872951737085.4167
GOOGLENET,1.0,float32,1,12.0,1120,0.001,51.32,1929474078028.4363
GOOGLENET,1.0,float32,1,15.0,1120,0.001,50.93,1914727970575.0537
GOOGLENET,1.0,float32,1,18.0,1120,0.001,52.42,1970921567962.8835
GOOGLENET,1.0,float32,1,21.0,1120,0.001,52.43,1971117748052.9834
GOOGLENET,1.0,float32,1,24.0,1120,0.001,51.17,1923911245047.4534
GOOGLENET,1.0,float32,1,27.0,1120,0.001,52.67,1980251713442.899
GOOGLENET,1.0,float32,1,30.0,1120,0.001,52.8,1984968663286.6406
